Name,Ticker,Sector,Category
Industrial and Commercial Bank of China Limited Class H,1398-HK,Financials,MSCI ACWI ex-US
Chunghwa Telecom Co. Ltd Sponsored ADR,CHT,Communication Services,MSCI ACWI ex-US
Heineken NV,HEIA-NL,Consumer Staples,MSCI ACWI ex-US
James Hardie Industries PLC Chess Units of Foreign Securities,JHX-AU,Materials,MSCI ACWI ex-US
United Microelectronics Corp. Sponsored ADR,UMC,Information Technology,MSCI ACWI ex-US
Lloyds Banking Group plc,LLOY-GB,Financials,MSCI ACWI ex-US
FUJIFILM Holdings Corp,4901-JP,Information Technology,MSCI ACWI ex-US
Intesa Sanpaolo S.p.A.,ISP-IT,Financials,MSCI ACWI ex-US
FAST RETAILING CO. LTD.,9983-JP,Consumer Discretionary,MSCI ACWI ex-US
Infineon Technologies AG,IFX-DE,Information Technology,MSCI ACWI ex-US
Universal Music Group N.V.,UMG-NL,Communication Services,MSCI ACWI ex-US
Techtronic Industries Co. Ltd.,669-HK,Industrials,MSCI ACWI ex-US
China Mengniu Dairy Co. Ltd.,2319-HK,Consumer Staples,MSCI ACWI ex-US
Nordea Bank Abp,NDA.SE-SE,Financials,MSCI ACWI ex-US
Manulife Financial Corporation,MFC-CA,Financials,MSCI ACWI ex-US
Dassault Systemes SA,DSY-FR,Information Technology,MSCI ACWI ex-US
Eni S.p.A.,ENI-IT,Energy,MSCI ACWI ex-US
Volvo AB Class B,VOLV.B-SE,Industrials,MSCI ACWI ex-US
Ping An Insurance (Group) Company of China Ltd. Class H,2318-HK,Financials,MSCI ACWI ex-US
Swiss Re AG,SREN-CH,Financials,MSCI ACWI ex-US
Bayerische Motoren Werke AG,BMW-DE,Consumer Discretionary,MSCI ACWI ex-US
America Movil SAB de CV Class L,AMXL-MX,Communication Services,MSCI ACWI ex-US
Link Real Estate Investment Trust,823-HK,Real Estate,MSCI ACWI ex-US
DNB Bank ASA,DNB-NO,Financials,MSCI ACWI ex-US
NetEase Inc. Sponsored ADR,NTES,Communication Services,MSCI ACWI ex-US
Hindustan Unilever Limited,500696-IN,Consumer Staples,MSCI ACWI ex-US
Petroleo Brasileiro SA Sponsored ADR Pfd,PBR.A,Energy,MSCI ACWI ex-US
Seven & I Holdings Co. Ltd.,3382-JP,Consumer Staples,MSCI ACWI ex-US
Sberbank Russia PJSC Sponsored ADR,SBER-GB,Financials,MSCI ACWI ex-US
Pinduoduo Inc. Sponsored ADR Class A,PDD,Consumer Discretionary,MSCI ACWI ex-US
SMC Corporation,6273-JP,Industrials,MSCI ACWI ex-US
Tata Consultancy Services Limited,532540-IN,Information Technology,MSCI ACWI ex-US
Bridgestone Corporation,5108-JP,Consumer Discretionary,MSCI ACWI ex-US
Sandvik AB,SAND-SE,Industrials,MSCI ACWI ex-US
Xiaomi Corp. Class B,1810-HK,Information Technology,MSCI ACWI ex-US
Compagnie de Saint-Gobain SA,SGO-FR,Industrials,MSCI ACWI ex-US
Panasonic Corporation,6752-JP,Consumer Discretionary,MSCI ACWI ex-US
Constellation Software Inc.,CSU-CA,Information Technology,MSCI ACWI ex-US
Mitsubishi Electric Corp.,6503-JP,Industrials,MSCI ACWI ex-US
A.P. Moller - Maersk A/S Class B,MAERSK.B-DK,Industrials,MSCI ACWI ex-US
ORIX Corporation,8591-JP,Financials,MSCI ACWI ex-US
Genmab A/S,GMAB-DK,Health Care,MSCI ACWI ex-US
Barrick Gold Corporation,ABX-CA,Materials,MSCI ACWI ex-US
Kyocera Corporation,6971-JP,Information Technology,MSCI ACWI ex-US
Kerry Group Plc Class A,KRZ-IE,Consumer Staples,MSCI ACWI ex-US
Bank Leumi Le-Israel Ltd.,LUMI-IL,Financials,MSCI ACWI ex-US
Akzo Nobel N.V.,AKZA-NL,Materials,MSCI ACWI ex-US
SGS SA,SGSN-CH,Industrials,MSCI ACWI ex-US
Equinor ASA,EQNR-NO,Energy,MSCI ACWI ex-US
NICE Ltd,NICE-IL,Information Technology,MSCI ACWI ex-US
Kubota Corporation,6326-JP,Industrials,MSCI ACWI ex-US
Sonic Healthcare Limited,SHL-AU,Health Care,MSCI ACWI ex-US
Al Rajhi Bank,1120-SA,Financials,MSCI ACWI ex-US
Kao Corp.,4452-JP,Consumer Staples,MSCI ACWI ex-US
Severn Trent Plc,SVT-GB,Utilities,MSCI ACWI ex-US
Volkswagen AG Pref,VOW3-DE,Consumer Discretionary,MSCI ACWI ex-US
SSGA FDS/USA STIF USD,85749246,Unassigned,MSCI ACWI ex-US
Bank Hapoalim BM,POLI-IL,Financials,MSCI ACWI ex-US
E.ON SE,EOAN-DE,Utilities,MSCI ACWI ex-US
Legrand SA,LR-FR,Industrials,MSCI ACWI ex-US
Tesco PLC,TSCO-GB,Consumer Staples,MSCI ACWI ex-US
Rogers Communications Inc. Class B,RCI.B-CA,Communication Services,MSCI ACWI ex-US
Asahi Group HoldingsLtd.,2502-JP,Consumer Staples,MSCI ACWI ex-US
Kone Oyj Class B,KNEBV-FI,Industrials,MSCI ACWI ex-US
UPM-Kymmene Oyj,UPM-FI,Materials,MSCI ACWI ex-US
Bank of China Limited Class H,3988-HK,Financials,MSCI ACWI ex-US
KBC Group N.V.,KBC-BE,Financials,MSCI ACWI ex-US
Sumitomo Mitsui Financial Group Inc.,8316-JP,Financials,MSCI ACWI ex-US
London Stock Exchange Group plc,LSEG-GB,Financials,MSCI ACWI ex-US
Kakao Corp.,035720-KR,Communication Services,MSCI ACWI ex-US
Hyundai Motor Company,005380-KR,Consumer Discretionary,MSCI ACWI ex-US
Transurban Group Ltd.,TCL-AU,Industrials,MSCI ACWI ex-US
Naspers Limited Class N,NPN-ZA,Consumer Discretionary,MSCI ACWI ex-US
STMicroelectronics NV,STM-FR,Information Technology,MSCI ACWI ex-US
Komatsu Ltd.,6301-JP,Industrials,MSCI ACWI ex-US
Assicurazioni Generali S.p.A.,G-IT,Financials,MSCI ACWI ex-US
