Name,Ticker,Sector,Category,Weight
Sandvik AB,SAND-SE,Industrials,ACWI ex-US,0.138169
Xiaomi Corp. Class B,1810-HK,Information Technology,ACWI ex-US,0.137381
Compagnie de Saint-Gobain SA,SGO-FR,Industrials,ACWI ex-US,0.136866
Panasonic Corporation,6752-JP,Consumer Discretionary,ACWI ex-US,0.135474
Constellation Software Inc.,CSU-CA,Information Technology,ACWI ex-US,0.135252
Mitsubishi Electric Corp.,6503-JP,Industrials,ACWI ex-US,0.135154
A.P. Moller - Maersk A/S Class B,MAERSK.B-DK,Industrials,ACWI ex-US,0.133718
ORIX Corporation,8591-JP,Financials,ACWI ex-US,0.133673
Genmab A/S,GMAB-DK,Health Care,ACWI ex-US,0.132899
Barrick Gold Corporation,ABX-CA,Materials,ACWI ex-US,0.131927
Kyocera Corporation,6971-JP,Information Technology,ACWI ex-US,0.131823
Kerry Group Plc Class A,KRZ-IE,Consumer Staples,ACWI ex-US,0.129616
Bank Leumi Le-Israel Ltd.,LUMI-IL,Financials,ACWI ex-US,0.129409
Akzo Nobel N.V.,AKZA-NL,Materials,ACWI ex-US,0.129037
SGS SA,SGSN-CH,Industrials,ACWI ex-US,0.128939
Equinor ASA,EQNR-NO,Energy,ACWI ex-US,0.128543
NICE Ltd,NICE-IL,Information Technology,ACWI ex-US,0.128336
Kubota Corporation,6326-JP,Industrials,ACWI ex-US,0.127096
Sonic Healthcare Limited,SHL-AU,Health Care,ACWI ex-US,0.125511
Al Rajhi Bank,1120-SA,Financials,ACWI ex-US,0.124544
Kao Corp.,4452-JP,Consumer Staples,ACWI ex-US,0.123943
Severn Trent Plc,SVT-GB,Utilities,ACWI ex-US,0.123314
Volkswagen AG Pref,VOW3-DE,Consumer Discretionary,ACWI ex-US,0.122494
SSGA FDS/USA STIF USD,85749246,Unassigned,ACWI ex-US,0.121183
Bank Hapoalim BM,POLI-IL,Financials,ACWI ex-US,0.121059
E.ON SE,EOAN-DE,Utilities,ACWI ex-US,0.120515
Legrand SA,LR-FR,Industrials,ACWI ex-US,0.120329
Tesco PLC,TSCO-GB,Consumer Staples,ACWI ex-US,0.119151
Rogers Communications Inc. Class B,RCI.B-CA,Communication Services,ACWI ex-US,0.119109
Asahi Group HoldingsLtd.,2502-JP,Consumer Staples,ACWI ex-US,0.118966
Kone Oyj Class B,KNEBV-FI,Industrials,ACWI ex-US,0.118244
UPM-Kymmene Oyj,UPM-FI,Materials,ACWI ex-US,0.118107
Bank of China Limited Class H,3988-HK,Financials,ACWI ex-US,0.117481
KBC Group N.V.,KBC-BE,Financials,ACWI ex-US,0.116624
Sumitomo Mitsui Financial Group Inc.,8316-JP,Financials,ACWI ex-US,0.116445
London Stock Exchange Group plc,LSEG-GB,Financials,ACWI ex-US,0.116368
Kakao Corp.,035720-KR,Communication Services,ACWI ex-US,0.116339
Hyundai Motor Company,005380-KR,Consumer Discretionary,ACWI ex-US,0.115562
Transurban Group Ltd.,TCL-AU,Industrials,ACWI ex-US,0.115097
Naspers Limited Class N,NPN-ZA,Consumer Discretionary,ACWI ex-US,0.114849
STMicroelectronics NV,STM-FR,Information Technology,ACWI ex-US,0.114421
Komatsu Ltd.,6301-JP,Industrials,ACWI ex-US,0.114345
